Name,Category,State,City
"240051-R.C.PATEL E.T.'S ARTS & SCIENCE COLLEGE, SHIRPUR.",College,Maharashtra,Dhule
"240055-SES'S R.C.PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, SHIRPUR, DIST DHULE",College,Maharashtra,Dhule
"240074-R.C.PATEL EDU.TRUST'S INSTITUTE OF MANAGEMENT RESEARCH&DEVELOPMENT, SHIRPUR",College,Maharashtra,Dhule
"240080-AVPSS ARTS COLLEGE,THALNER,TAL-SHIRPUR, DIST-DHULE",College,Maharashtra,Dhule
"240093-THE SHIRPUR EDUCATION SOCIETY'S H.R.PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, SHIRPUR",College,Maharashtra,Dhule
"240096-KVPS'S INSTITUTE OF PHARMACEUTICAL EDUCATION, BORADI",College,Maharashtra,Dhule
"250042-SSSVPS'S LATE S.D.PATIL ARTS,COM.&LATE M.D.SISODE SCI.COLLEGE SHINDKHEDA",College,Maharashtra,Dhule
"250043-SSVPS'S SMT.P.B.BAGAL ARTS & COMMERCE COLLEGE, DONDAICHA, TAL SHINDKHEDA, DHULE",College,Maharashtra,Dhule
"250044-SVS'S ARTS & SCIENCE COLLEGE, DONDAICHA, TAL SHINDKHEDA, DHULE",College,Maharashtra,Dhule
"250046-GRAMIN VIKAS SHIKSHAN PRASARAK MANDAL'S LATE M.D.SISODE ALIAS BHAUSAHEB ARTS, COMMERCE AND DR. SAU. USHATAI PRASADRAO TANPURE SCIENCE COLLEGE, NARDANA, TAL-SHINDKHEDA, DIST - DHULE",College,Maharashtra,Dhule
"250108- SWODDHARAK VIDYARTHI SANSTHA SRIMANT RAJE DAULATSINGJI RAWAL B.ED COLLEGE, DONDAICHA, TAL SHINDKHEDA, DHULE",College,Maharashtra,Dhule
"250114-SHRI JAYKUMAR RAWAL INSTITUTE OF TECHNOLOGY, DONDAICHA, DHULE",College,Maharashtra,Dhule
"2538-LATUR COLLEGE OF PHARMACY D. PHARM, LATUR",College,Maharashtra,Latur
"260049 - Adhyapak shiksha Mandal's C.H.C Arts, S.G. Patel Commerce & Babaji B.J.Patel Science College, Taloda, District-Nandurbar-425413",College,Maharashtra,Nandurbar
"260050-VIDYA VIKAS MANDAL'S ARTS & COMMERCE COLLEGE, AKKALKUWA.",College,Maharashtra,Nandurbar
"260084-GRAMVIKAS MANDAL'S MOLGI SANCHALIT PRADNYA SR. COLLEGE OF ARTS, MOLGI, TAL-AKKALKUWA, DIST-NANDURBAR",College,Maharashtra,Nandurbar
"260089-RFN'S SENIOR SCIENCE COLLEGE, AKKALKUWA.",College,Maharashtra,Nandurbar
"270047-SHRI. D.H. AGRAWAL ARTS, SHRI. RANG AVADHOOT COMMERCE AND SHRI. C. C. SHAH AND M.G. AGRAWAL SCIENCE COLLEGE, NAVAPUR TAL. NAVAPUR DIST. NANDURBAR",College,Maharashtra,Nandurbar
"270083-VES'S SARVAJANIK ARTS COLLEGE, VISARWADI,TAL-NAVAPUR,DIST-NANDURBAR",College,Maharashtra,Nandurbar
"280061-A. S. S. P. MANDAL'S MAHARAJ J. P. VALVI ARTS, COMMERCE & SHRI V. K. KULKARNI SCIENCE COLLEGE, DHADGAON TAL AKRANI DIST NANDURBAR",College,Maharashtra,Nandurbar
3143-THAKUR SHYAMNARAYAN ENGINEERING COLLEGE,College,Maharashtra,Mumbai Suburban
"357 Late.Uttamrao Deshmukh Adhyapak Mahavidyalaya, Rely Station,Shegaon.",College,Maharashtra,Buldhana
"+3 Anchalika Mahavidyalaya, Barisal, Dhenkanal",College,Odisha,Dhenkanal
"+3 Degree College,Karlapada,Kalahandi",College,Odisha,Kalahandi
"+3 Degree College,Sinapali",College,Odisha,Nuapada
"+3 Degree Women's College, Kamakshyanagar, Dhenkanal",College,Odisha,Dhenkanal
+3 Maa Sarada Devi Mahavidyalaya,College,Odisha,Bhadrak
"+3 sanda College, Sanda, Hindol Road, Dhenkanal",College,Odisha,Dhenkanal
+3 Womens College Bhogarai,College,Odisha,Balasore
"+3 Women's College,Kantabanji",College,Odisha,Balangir
5286-SWAMI VIVEKANAND SANSTHAS INSTITUTE OF PHARMACY D PHARMACY,College,Maharashtra,Nashik
"5292-MATOSHRI EDUCATION SOCIETY'S MABD INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, BHABULGAON, TAL YEOLA DIST. NASHIK",College,Maharashtra,Nashik
"5365-VARDHAMAN EDUCATION & WELFARE SOCIETY,AHINSA INSTITUTE TECHNOLOGY, DHULE",College,Maharashtra,Dhule
"A1 Global Institute of Engineering & Technology, Markapur- 523316 (CC-7Y)",College,Andhra Pradesh,Prakasam
AAA COLLEGE OF ENGINEERING AND TECHNOLOGY,College,Tamil Nadu,Virudhunagar
AABAN EDUCATION INSTITUTE JOYA AMROHA,College,Uttar Pradesh,Amroha
AABAN LAW COLLEGE JOYA,College,Uttar Pradesh,Amroha
"AAB COLLEGE OF NURSING (Inst. Code - 344), TIRUVANNAMALAI",College,Tamil Nadu,Tiruvannamalai
AACHARYA CHANAKYA LAW COLLEGE,College,Rajasthan,Bhilwara
AACHARYA FIRST GRADE COLLEGE,College,Karnataka,Hassan
"AACHARYA RAM CHANDRA MAHAVIDYALAYA, REUSA, SITAPUR",College,Uttar Pradesh,Sitapur
"Aachary Baldev College, Kopa ,Patarhi, Jaunpur",College,Uttar Pradesh,Jaunpur
"Aadarsha Chitrakala Mahavidyalaya, Indi",College,Karnataka,Vijayapura
Aadarsh Art.& Comm. College Nai Ganj Mandi,College,Chhattisgarh,Raipur
"Aadarsh B.Ed. College, Jaipur",College,Rajasthan,Jaipur
"AADARSH B ED COLLEGE, PALARI, SEONI",College,Madhya Pradesh,Seoni
"AADARSH COLLEGE OF BUSINESS MANAGEMENT, DHAR",College,Madhya Pradesh,Dhar
"Aadarsh Mahavidyalaya,  Datrenga, Raipur",College,Chhattisgarh,Raipur
"Aadarsh Mahavidyalaya, Jaipur",College,Rajasthan,Jaipur
"Aadarsh Nanhkoo Ram Mahavidyalaya, Ramgarh, Barawan, Jaunpur",College,Uttar Pradesh,Jaunpur
AADARSH NURSING COLLEGE JETPURA,College,Madhya Pradesh,Dhar
"Aadarsh Shikshan Prasarak Mandal, K.T. Patil College of Education, Tambri Vibhag, Osmanabad.",College,Maharashtra,Dharashiv
AADARSH YOGA MAHAVIDHALYA KHATUSHYAMJI DANTARAMGARH SIKAR,College,Rajasthan,Sikar
AADHAR SHIKSHA MAHAVIDHYALAYA GOURJHAMAR,College,Madhya Pradesh,Sagar
"AADHARSHILA TEACHER TRAINING INSTITUTE FOR WOMEN, VILLAGE LEHARRA KHANPUR",College,Uttar Pradesh,Meerut
"Aadhavan Arts and Science College, Alathur Village, Chettiyappatty Panchayat, Manapparai (Tk), Tiruchirappalli - 621 306.",College,Tamil Nadu,Tiruchirappalli
